station_id,trips_started,name,lat,lon,capacity
7106,4644,Mill St / Tannery Rd,43.652219,-79.354455,27
7107,5063,Cherry St / Distillery Ln,43.650279,-79.356832,15
7108,8505,Front St E / Cherry St,43.652686,-79.358395,15
7109,7040,Seaton St / Dundas St E - SMART,43.658777,-79.369596,32
7110,6232,Queen St E / Berkeley St,43.6552778,-79.3658333333333,15
7111,10923,King St W / Douro St,43.640885,-79.416379,11
7112,4717,Liberty St / Fraser Ave Green P,43.637981,-79.424146,19
7114,12588,Carlton St / Parliament St,43.664524,-79.36793,27
7115,9465,Howard St / Sherbourne St,43.6712581,-79.376367,15
7117,4012,640 Bloor Street E,43.6746885744863,-79.3670196239627,19
7118,8343,King St W / Bay St (East Side),43.648575,-79.380042,19
7119,7108,Sumach St / Carlton St. (Riverdale Farm),43.665867,-79.362506,15
7120,6078,Gerrard St E / River St,43.663993,-79.358534,11
7121,22303,Jarvis St / Dundas St E,43.657266,-79.374756,27
7122,3606,Niagara St / Tecumseth St,43.641389,-79.404444,15
7123,3873,424 Wellington St W,43.643834,-79.396649,15
7124,7325,Dundas St E / Broadview Ave,43.662365,-79.351104,19
7126,12460,Yonge St / Yorkville Ave,43.671944,-79.387778,17
7127,4881,Bay St / Scollard St,43.672152,-79.39018,15
7128,2301,Yonge St / Aylmer Ave,43.675492,-79.388858,15
7129,8147,Davenport Rd / Avenue Rd,43.674991,-79.396273,11
7130,4933,Davenport Rd / Bedford Rd,43.674446,-79.398331,15
7131,7350,Taddle Creek Park,43.66986,-79.398443,15
7132,4882,Kendal Ave / Spadina Rd,43.670318,-79.405181,9
7133,4814,Summerhill Subway Station,43.681944,-79.390556,11
7135,8581,Hanna Ave / Liberty St,43.6384009,-79.4197107,17
7136,4360,Queen St W / Close Ave,43.640634,-79.435841,23
7137,2746,Davenport Rd / Bathurst St,43.676667,-79.416111,27
7138,3300,Davenport Rd / Christie St,43.675278,-79.423889,27
7139,3434,Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,15
7140,5895,Macpherson Ave / Spadina Rd,43.675791,-79.40698,15
7141,3217,Bridgeman Ave / Kendal Ave,43.675556,-79.410278,15
7142,2261,Bridgeman Ave / Bathurst St,43.674444,-79.414722,15
7143,6539,Kendal Ave / Bernard Ave,43.671513,-79.408317,15
7144,3675,Palmerston Ave / Vermont Ave,43.671389,-79.416389,15
7146,3728,Christie St / Benson Ave (Wychwood Barns),43.68,-79.425,19
7147,2739,King St W / Fraser Ave,43.6394444,-79.4252777777778,15
7148,13385,King St W / Joe Shuster Way,43.639444,-79.423611,15
7149,3257,Yarmouth Rd / Christie St,43.67,-79.4208333333333,11
7150,6681,Dufferin St / Sylvan Av (Dufferin Grove Park),43.6555556,-79.4336111111111,19
7151,3834,Essex St / Christie St - SMART,43.6686111,-79.4202777777778,19
7152,6441,Ossington Ave / Bloor St W,43.661705,-79.425734,11
7153,11514,Bloor St W / Christie St,43.6638889,-79.4188888888889,19
7154,8784,Bathurst Subway Station,43.6666667,-79.4116666666667,23
7155,8936,Bathurst St / Lennox St,43.663808,-79.410491,19
7156,5159,Salem Ave / Bloor St W,43.6608333,-79.4316666666667,15
7157,2563,Dufferin St / Bloor St,43.6608333333333,-79.4358333333333,22
7158,7653,King St W / Stafford St,43.6422222,-79.4111111111111,15
7160,16980,King St W / Tecumseth St,43.6433333333333,-79.4055555555556,19
7161,12375,Beverley St / College St,43.6575,-79.3952777777778,23
7162,8073,Hayter St / Laplante Ave,43.6591666666667,-79.3855555555556,22
7163,15874,Yonge St / Wood St,43.6622222,-79.3825,15
7164,12936,Gould St / Yonge St (Ryerson University),43.657424,-79.381019,22
7168,21465,Queens Quay / Yonge St,43.641646,-79.375308,31
7169,8033,Front St W / Bay St (North Side),43.646162,-79.378912,11
7170,9059,Spadina Ave / Willcocks St,43.6616667,-79.4013888888889,15
7171,20342,Ontario Place Blvd / Lake Shore Blvd W,43.6322445,-79.4108105,27
7172,8155,Strachan Ave / Princes' Blvd,43.635,-79.4088888888889,19
7173,2828,Cariboo St / Rail Path,43.66666667,-79.4583333333333,19
7174,4586,Bloor St W / Dundas St W,43.6563889,-79.4516666666667,15
7175,22439,HTO Park (Queens Quay W),43.63796,-79.387502,27
7176,11187,Bathurst St / Fort York Blvd,43.639179,-79.399595,19
7178,4749,Dundas St W / Edna Ave,43.657192,-79.452559,15
7180,5117,Lansdowne Subway Station,43.6587734,-79.443054,23
7181,1749,Lansdowne Ave / Whytock Ave,43.6538888888889,-79.4413888888889,15
7182,2356,Sterling Rd / Dundas St W,43.6508333333333,-79.4430555555556,18
7183,3787,St Clarens Ave / College St,43.651238,-79.43868,15
7184,7661,Ossington Ave / College St,43.6544915,-79.422634,11
7188,5727,Exhibition GO (Atlantic Ave),43.6366666666667,-79.4197222222222,23
7189,10555,Augusta Ave / Denison Sq,43.653766,-79.4016759,15
7190,16603,St. George St / Hoskin Ave,43.6637403,-79.3980645,15
7191,9356,Central Tech  (Harbord St),43.661975,-79.407896,11
7192,6731,Harbord St / Clinton St,43.660414,-79.415646,15
7193,8998,Queen St W / Gladstone Ave,43.6430555555556,-79.4275,23
7194,2011,Mortimer Ave / Coxwell Ave,43.690564,-79.326319,23
7195,5835,Ulster St / Bathurst St,43.66,-79.4088888888889,11
